学号,性别,专业,数学,英语,编程
20240137,女,经济学,61.3,76.6,40.1
20240138,女,计算机,67.7,62.5,68.4
20240139,女,统计学,81.6,64.2,68.5
20240140,男,计算机,92.6,89.1,66.2
20240141,女,统计学,55.4,55.4,86.2
20240142,女,计算机,76.7,36.2,27.9
20240143,女,计算机,59.5,92.6,73.9
20240144,女,计算机,77.7,100.0,91.4
20240145,女,文学,70.4,64.3,51.1
20240146,男,计算机,50.0,42.9,62.3
20240147,男,经济学,83.1,65.7,56.7
20240148,女,统计学,64.7,66.0,54.6
20240149,男,统计学,65.6,67.3,63.1
20240150,男,统计学,59.2,54.4,89.4
20240151,女,文学,64.1,78.1,95.6
20240152,女,经济学,77.1,77.3,63.0
20240153,男,文学,69.7,49.1,96.6
20240154,女,经济学,75.9,79.8,68.5
20240155,男,文学,76.3,98.7,94.3
20240156,女,统计学,87.8,72.4,66.6
20240157,男,统计学,67.9,65.3,70.0
20240158,女,文学,54.3,68.0,73.5
20240159,女,文学,84.8,78.6,100.0
20240160,女,文学,68.0,45.8,80.8
20240161,男,统计学,85.4,72.3,57.4
20240162,女,计算机,76.6,64.5,82.5
20240163,男,经济学,70.4,95.9,62.6
20240164,男,计算机,76.2,67.6,60.7
20240165,女,文学,95.4,93.4,81.6
20240166,男,计算机,96.9,54.5,68.5
20240167,女,计算机,72.8,78.2,72.2
20240168,女,计算机,73.9,74.5,68.2
20240169,男,统计学,84.9,57.8,73.0
20240170,女,统计学,61.9,72.5,74.4
20240171,男,文学,76.0,87.0,38.9
20240172,女,经济学,71.7,65.5,78.0
20240173,男,经济学,75.8,46.3,53.3
20240174,女,计算机,62.0,69.8,46.4
20240175,男,计算机,52.9,57.4,67.1
20240176,男,经济学,47.1,65.2,69.3
20240177,男,文学,58.6,68.9,57.6
20240178,女,统计学,66.5,46.1,80.5
20240179,女,文学,68.5,47.4,47.9
20240180,女,计算机,95.2,76.7,61.9
20240181,女,计算机,85.3,62.7,59.2
20240182,女,文学,60.5,34.1,67.3
20240183,女,计算机,76.2,81.0,72.2
20240184,男,计算机,67.1,73.8,52.9
20240185,女,经济学,68.6,60.0,78.9
20240186,女,文学,74.2,51.6,68.9
20240187,男,统计学,79.4,81.7,39.6
20240188,男,计算机,67.9,74.9,38.6
20240189,女,文学,84.8,100.0,67.8
20240190,男,文学,58.3,75.9,64.7
20240191,女,文学,72.1,75.4,66.4
20240192,男,文学,100.0,67.7,67.6
20240193,男,计算机,74.7,81.4,71.4
20240194,女,文学,89.2,78.8,82.2
20240195,男,经济学,73.1,87.5,51.3
20240196,男,文学,79.0,62.7,50.4
20240197,女,统计学,71.3,63.9,51.6
20240198,女,文学,70.0,63.3,72.3
20240199,男,统计学,62.6,81.1,86.7
20240200,男,统计学,77.2,91.0,61.5
